,title,location,posted_on,institute,keyword,comb,exist
160,Postdoc in Computational Social Science,Köln,17.07.2025,GESIS Leibniz-Institut für Sozialwissenschaften,ComputationalNeuroscience,17.07.2025|Köln,False
161,Postdoc für Plattformdaten und Computational Social Science,Köln,30.07.2025,GESIS Leibniz-Institut für Sozialwissenschaften,ComputationalNeuroscience,30.07.2025|Köln,False
170,Tierarzt / Biologe (w/m/d) für die Unterstützung der Core Facility-Leitung,Mannheim,05.08.2025,Medizinische Fakultät Mannheim,BiologicallyPlausible_Machine_Learning,05.08.2025|Mannheim,False
171,W3-Professur für Pharmazeutische Biologie und Phytochemie,Münster,31.07.2025,Universität Münster,BiologicallyPlausible_Machine_Learning,31.07.2025|Münster,False
172,Tenure Track-Professur für Soil Biology,Graz,10.07.2025,Universität Graz,BiologicallyPlausible_Machine_Learning,10.07.2025|Graz,False
177,Tenure-Track Professorship in Mechanistic Cell and Developmental Biology,Wien,01.08.2025,Universität Wien,BiologicallyPlausible_Machine_Learning,01.08.2025|Wien,False
178,"W3-Professur für ""Allgemeine Botanik""",Halle-Wittenberg,29.07.2025,Martin-Luther-Universität Halle-Wittenberg (MLU),BiologicallyPlausible_Machine_Learning,29.07.2025|Halle-Wittenberg,False
179,"W2-Professur für ""Pflanzenökologie""","Halle, Wittenberg",29.07.2025,Martin-Luther-Universität Halle-Wittenberg (MLU),BiologicallyPlausible_Machine_Learning,"29.07.2025|Halle, Wittenberg",False
180,Professur (m/w/d) für Biologiedidaktik,Osnabrück,06.08.2025,Universität Osnabrück,BiologicallyPlausible_Machine_Learning,06.08.2025|Osnabrück,False
181,Masterarbeiten im Bereich der experimentellen Strahlenbiologie und Radioonkologie,Mainz,25.07.2025,Universitätsmedizin Mainz,BiologicallyPlausible_Machine_Learning,25.07.2025|Mainz,False
182,W1 Junior Professorship (W3 tenure track position) in Microbiology,Saarbrücken,17.07.2025,Universität des Saarlandes,BiologicallyPlausible_Machine_Learning,17.07.2025|Saarbrücken,False
184,Data Steward,Wien,01.08.2025,Universität Wien,BiologicallyPlausible_Machine_Learning,01.08.2025|Wien,False
185,W3-Professur für Marine Ökologie,Rostock,23.07.2025,Universität Rostock,BiologicallyPlausible_Machine_Learning,23.07.2025|Rostock,False
